Date ,Open ,High,Low,Last,Close
09-Dec-22,"1,232.00","1,233.40","1,208.00","1,229.60","1,210.20"
08-Dec-22,"1,222.60","1,233.00","1,217.00","1,221.45","1,229.60"
07-Dec-22,"1,225.20","1,229.40","1,218.00","1,227.05","1,221.45"
06-Dec-22,"1,225.00","1,235.80","1,223.00","1,233.90","1,227.05"
05-Dec-22,"1,239.00","1,243.05","1,230.00","1,236.85","1,233.90"
02-Dec-22,"1,244.80","1,244.80","1,232.20","1,243.45","1,236.85"
01-Dec-22,"1,241.00","1,260.00","1,240.10","1,238.00","1,243.45"
30-Nov-22,"1,239.80","1,248.90","1,230.20","1,234.45","1,238.00"
29-Nov-22,"1,229.00","1,247.00","1,226.05","1,225.65","1,234.45"
28-Nov-22,"1,216.80","1,236.95","1,216.00","1,217.95","1,225.65"
25-Nov-22,"1,218.00","1,226.95","1,215.00","1,215.25","1,217.95"
24-Nov-22,"1,219.90","1,227.00","1,212.60","1,214.55","1,215.25"
23-Nov-22,"1,218.00","1,224.00","1,212.95","1,215.55","1,214.55"
22-Nov-22,"1,217.10","1,224.50","1,212.00","1,220.55","1,215.55"
21-Nov-22,"1,216.95","1,236.70","1,213.65","1,218.55","1,220.55"
18-Nov-22,"1,224.80","1,224.90","1,210.20","1,220.95","1,218.55"
17-Nov-22,"1,221.95","1,230.85","1,217.00","1,222.85","1,220.95"
16-Nov-22,"1,250.00","1,261.30","1,210.00","1,250.10","1,222.85"
15-Nov-22,"1,261.85","1,277.50","1,245.35","1,256.25","1,250.10"
14-Nov-22,"1,218.90","1,273.95","1,212.20","1,212.85","1,256.25"
11-Nov-22,"1,215.00","1,222.65","1,210.00","1,206.55","1,212.85"
10-Nov-22,"1,215.00","1,219.00","1,201.45","1,219.50","1,206.55"
09-Nov-22,"1,235.00","1,239.25","1,215.80","1,233.50","1,219.50"
07-Nov-22,"1,222.55","1,250.00","1,212.80","1,216.45","1,233.50"
04-Nov-22,"1,222.00","1,234.50","1,209.10","1,218.95","1,216.45"
03-Nov-22,"1,229.00","1,235.95","1,215.80","1,229.35","1,218.95"
02-Nov-22,"1,243.65","1,246.05","1,227.55","1,237.45","1,229.35"
01-Nov-22,"1,229.70","1,241.95","1,223.85","1,223.55","1,237.45"
31-Oct-22,"1,227.00","1,235.00","1,221.10","1,222.00","1,223.55"
28-Oct-22,"1,225.00","1,231.05","1,220.00","1,223.30","1,222.00"
27-Oct-22,"1,233.90","1,239.00","1,220.15","1,231.00","1,223.30"
25-Oct-22,"1,224.55","1,247.10","1,214.40","1,224.55","1,231.00"
24-Oct-22,"1,219.00","1,226.65","1,214.70","1,202.65","1,224.55"
21-Oct-22,"1,220.00","1,230.00","1,200.00","1,213.70","1,202.65"
20-Oct-22,"1,216.10","1,235.60","1,209.00","1,226.95","1,213.70"
19-Oct-22,"1,219.90","1,239.90","1,215.10","1,213.80","1,226.95"
18-Oct-22,"1,220.00","1,225.00","1,208.15","1,205.15","1,213.80"
17-Oct-22,"1,206.00","1,221.35","1,202.00","1,209.65","1,205.15"
14-Oct-22,"1,250.00","1,250.00","1,202.00","1,220.05","1,209.65"
13-Oct-22,"1,211.00","1,230.65","1,210.00","1,231.80","1,220.05"
12-Oct-22,"1,239.45","1,247.25","1,216.65","1,234.45","1,231.80"
11-Oct-22,"1,252.00","1,263.00","1,230.00","1,251.55","1,234.45"
10-Oct-22,"1,253.00","1,258.95","1,246.05","1,268.85","1,251.55"
07-Oct-22,"1,271.50","1,275.15","1,258.00","1,271.50","1,268.85"
06-Oct-22,"1,262.55","1,289.55","1,261.20","1,256.25","1,271.50"
04-Oct-22,"1,253.00","1,259.75","1,242.85","1,229.55","1,256.25"
03-Oct-22,"1,245.00","1,255.30","1,227.00","1,245.90","1,229.55"
30-Sep-22,"1,217.10","1,251.50","1,211.25","1,226.55","1,245.90"
29-Sep-22,"1,254.80","1,254.80","1,225.00","1,231.25","1,226.55"
28-Sep-22,"1,244.90","1,253.95","1,228.20","1,254.10","1,231.25"
27-Sep-22,"1,260.00","1,271.80","1,248.80","1,253.45","1,254.10"
26-Sep-22,"1,291.00","1,298.45","1,245.05","1,305.40","1,253.45"
23-Sep-22,"1,321.95","1,327.60","1,301.00","1,318.70","1,305.40"
22-Sep-22,"1,317.95","1,335.00","1,313.55","1,324.90","1,318.70"
21-Sep-22,"1,348.00","1,358.45","1,320.75","1,347.05","1,324.90"
20-Sep-22,"1,327.00","1,365.80","1,321.10","1,311.00","1,347.05"
19-Sep-22,"1,334.20","1,337.80","1,303.60","1,334.15","1,311.00"
16-Sep-22,"1,351.00","1,354.95","1,325.00","1,358.75","1,334.15"
15-Sep-22,"1,380.15","1,391.70","1,351.05","1,380.15","1,358.75"
14-Sep-22,"1,369.00","1,390.25","1,366.05","1,398.10","1,380.15"
13-Sep-22,"1,403.90","1,411.00","1,391.15","1,396.85","1,398.10"
12-Sep-22,"1,392.00","1,414.95","1,389.10","1,387.75","1,396.85"
09-Sep-22,"1,428.00","1,428.00","1,376.00","1,420.65","1,387.75"
