Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),,,,,,
2018-10-08,425,427,419.774994,421.924988,397.579437,599192,10062.83,,,,,,
2018-10-05,420.5,433.450012,419,430.5,405.659698,624664,7407.06,,,,,,
2018-10-04,428.75,431.25,424.125,429.899994,405.09433,699734,3815.79,,,,,,
2018-10-03,433.5,434,427.549988,431.5,406.601959,827130,3960.27,,,,,,
2018-10-01,432,437.450012,431.549988,435.125,410.017822,819838,3486.05,,,,,,
2018-09-28,448.125,449.5,431.850006,433.350006,408.345245,1461700,7162.35,,,,,,
2018-09-27,434,443.850006,432.625,439.649994,414.281677,964432,11859.95,,,,,,
2018-09-26,441,453.975006,440.375,452.674988,426.555176,1635884,5248.6,,,,,,
2018-09-25,452.5,457.5,448.375,456.674988,430.324341,944786,5503.9,,,,,,
2018-09-24,453.700012,455.5,448.899994,451.799988,425.73056,705626,7999.55,,,,,,
2018-09-21,452,454.725006,444.274994,447.924988,422.079224,534320,12589.59,,,,,,
2018-09-19,448,454.975006,440.5,442.299988,416.778778,709486,3202.78,,,,,,
2018-09-18,442.700012,446.149994,439.575012,442.924988,417.367767,458944,6163.7,,,,,,
2018-09-17,443.325012,452.299988,443.325012,445.100006,419.417267,770840,7445.41,,,,,,
2018-09-14,445.049988,451.924988,441.25,448.399994,422.526794,520372,14784.5,,,,,,
2018-09-12,448.5,451.25,447.5,448.799988,422.903809,467276,10002.01,,,,,,
2018-09-11,450.125,457.899994,448.5,456.174988,429.85321,775046,7735.81,,,,,,
2018-09-10,454.5,462.5,451.549988,453.924988,427.733032,780444,17130.29,,,,,,
2018-09-07,452,460.850006,452,454.524994,428.298401,628470,2742.84,,,,,,
2018-09-06,454.5,459.950012,447.75,449.350006,423.422058,564994,3856.72,,,,,,
2018-09-05,448.825012,452.475006,441.25,442.975006,417.414886,613818,6674.93,,,,,,
2018-09-04,440.5,442.975006,436.100006,437.75,412.491364,614964,8163.82,,,,,,
2018-09-03,437.5,441.25,430.424988,431.850006,406.931824,665178,12538.39,,,,,,
2018-08-31,432.274994,435.725006,425,426.125,401.537079,574536,7913.21,,,,,,
2018-08-30,425.5,430.700012,422,422.674988,398.286224,545336,4516.57,,,,,,
2018-08-29,425.975006,432,425.200012,425.875,401.301544,456178,3280.33,,,,,,
2018-08-28,428.174988,438,428.174988,437.174988,411.949493,875448,5571.77,,,,,,
2018-08-27,437.625,442.200012,437,438.350006,413.056702,551256,4689.94,,,,,,
2018-08-24,436.125,441.350006,428.625,431.75,406.837555,610106,4289.35,,,,,,
2018-08-23,430.299988,430.5,422.625,424.049988,399.581818,517638,3662.36,,,,,,
2018-08-21,425.524994,428.075012,420.049988,421.950012,397.602997,556752,7941.4,,,,,,
2018-08-20,423.5,428.399994,422.399994,425.674988,401.113068,447774,4141.83,,,,,,
2018-08-17,426,428.625,420,421.024994,396.731384,664330,6885.52,,,,,,
2018-08-16,422.950012,424.875,418,418.975006,394.799713,615112,6106.81,,,,,,
2018-08-14,423,427.899994,421.649994,424.125,399.652527,496454,4459.96,,,,,,
2018-08-13,426.024994,428.475006,424.774994,426.549988,401.937592,493020,4573.57,,,,,,
2018-08-10,426.375,431.399994,426.25,427.450012,402.785706,498140,4757.48,,,,,,
2018-08-09,426.774994,432.725006,425.575012,430.950012,406.08374,812112,2676.63,,,,,,
2018-08-08,430.75,433.625,426.899994,428.149994,403.445251,449190,4305.39,,,,,,
2018-08-07,434,438.5,433.625,434.924988,409.829346,885660,4677.58,,,,,,
2018-08-06,434.774994,437.200012,431,433.625,408.60434,342044,6080.87,,,,,,
2018-08-03,440.5,444,438.274994,439.25,413.904785,672558,7893.32,,,,,,
2018-08-02,439.850006,444,439.5,441.774994,416.284119,474944,13328.52,,,,,,
2018-08-01,441.5,441.825012,436.100006,440.5,415.082703,371454,32325.56,,,,,,
2018-07-31,439.375,439.975006,434.399994,435.200012,410.088501,371618,10917.34,,,,,,
2018-07-30,433.700012,433.899994,429.200012,431.674988,406.766846,317888,4544.83,,,,,,
2018-07-27,430.100006,430.75,421.125,422.200012,397.838562,914780,3821.97,,,,,,
2018-07-26,424.149994,426.350006,418.125,419.475006,395.270844,336984,9565.1,,,,,,
2018-07-25,419.5,430.924988,419.5,429.325012,404.55246,480950,5596.44,,,,,,
2018-07-24,431.674988,432.350006,422.549988,427.274994,402.620819,749778,5607.3,,,,,,
2018-07-23,437,448.350006,431.149994,446.825012,421.042694,1301526,5645.48,,,,,,
2018-07-20,448.575012,454.174988,445.25,447.700012,421.867249,942334,7143.47,,,,,,
